 city 's 	->	 city's
 they 're 	->	 they're
 you?What 's 	->	 you?What's
 you 'll 	->	 you'll
 year 's 	->	 year's
 do n't 	->	 don't
 do n't 	->	 don't
 ca n't " 	->	 can't"
 do n't 	->	 don't
 people 's 	->	 people's
 it 's 	->	 it's
 is n't 	->	 isn't
 do n't 	->	 don't
 AIESEC 's 	->	 AIESEC's
 did n't 	->	 didn't
 It 's 	->	 It's
 I 'd 	->	 I'd
 ca n't 	->	 can't
 Sally 's 	->	 Sally's
 It 's 	->	 It's
 do n't 	->	 don't
 that 's 	->	 that's
 ca n't 	->	 can't
 It 's 	->	 It's
 I 'll 	->	 I'll
 did n't 	->	 didn't
 It 's 	->	 It's
 there 's 	->	 there's
 Do n't 	->	 Don't
 did n't 	->	 didn't
 does n't 	->	 doesn't
 ca n't ? 	->	 can't?
 That 's 	->	 That's
 did n't 	->	 didn't
 it 's 	->	 it's
 It 's 	->	 It's
 Dog 's 	->	 Dog's
 people 's 	->	 people's
 It 's 	->	 It's
 ca n't 	->	 can't
 do n't 	->	 don't
 person 's 	->	 person's
 It 's 	->	 It's
 did n't 	->	 didn't
 Peter 's 	->	 Peter's
 it 's 	->	 it's
 It 's 	->	 It's
 Let 's 	->	 Let's
 did n't 	->	 didn't
 source ... 	->	 source...
 theatre 's 	->	 theatre's
 that 's 	->	 that's
 it 's 	->	 it's
 director 's 	->	 director's
 We 're 	->	 We're
 What 's 	->	 What's
 people 's 	->	 people's
 9 am 	->	 9am
 2 pm 	->	 2pm
 does n't 	->	 doesn't
 ca n't 	->	 can't
 school 's 	->	 school's
 I 'll 	->	 I'll
 Michel 's 	->	 Michel's
 do n't 	->	 don't
 wo n't 	->	 won't
 it 's 	->	 it's
 do n't 	->	 don't
 do n't 	->	 don't
 drama 's 	->	 drama's
 do n't 	->	 don't
 ca n't 	->	 can't
 rich 's 	->	 rich's
 poor 's 	->	 poor's
 can not 	->	 cannot
 ca n't 	->	 can't
 I 'd 	->	 I'd
 UK 's 	->	 UK's
 can not 	->	 cannot
 It 's 	->	 It's
 I 'll 	->	 I'll
 I 'll 	->	 I'll
 could n't 	->	 couldn't
 writer ... 	->	 writer...
 did n't 	->	 didn't
 did n't 	->	 didn't
 can not 	->	 cannot
 it 's 	->	 it's
 could n't 	->	 couldn't
 wo n't 	->	 won't
 strike ... 	->	 strike...
 does n't 	->	 doesn't
 do n't 	->	 don't
 does n't 	->	 doesn't
 did n't 	->	 didn't
 can not 	->	 cannot
 can not 	->	 cannot
 are n't 	->	 aren't
 did n't 	->	 didn't
 should n't 	->	 shouldn't
 can not 	->	 cannot
 It 's 	->	 It's
 £ 20 . 	->	 £20.
 should n't 	->	 shouldn't
